ceref,name_en,website,email,telephone,address,fetched_at_utc,fetch_status
AAA662,Fubon Fund Management (Hong Kong) Limited,www.fubonfund.com.hk,ffmhk.sec@fubon.com,,"Flat D, 19/F, Lee & Man Commercial Center, 169 Electric Road, North Point, Hong Kong",2026-06-16T03:12:58.953488+00:00,ok
AAA721,Lamtex Securities Limited,www.lamtex.com.hk,lamtexsec@yahoo.com.hk,,"Unit 8 8/F W668, 668-680 Castle Peak Road, Kowloon, Hong Kong",2026-06-16T03:47:39.787124+00:00,ok
AAA778,Westpac Banking Corporation,,,,,2026-06-16T04:48:15.902513+00:00,ok
AAA806,Chong Hing Securities Limited,www.chsec.com.hk,info@chsec.com.hk,,"2/F Chong Hing Bank Centre, 24 Des Voeux Road Central, Hong Kong",2026-06-16T02:47:44.716506+00:00,ok
AAA808,I & P Securities Limited,,,,,2026-06-16T03:36:20.394771+00:00,ok
AAA847,Get Nice Securities Limited,www.getnicefg.com.hk,info@getnice.com.hk,,"G/F-3/F, Cosco Tower, Grandmillennium Plaza, 183 Queen's Road Central, Hong Kong",2026-06-16T03:18:43.039007+00:00,ok
AAA849,Goldman Sachs (Asia) Securities Limited,,,,,2026-06-16T03:18:45.151561+00:00,ok
AAA854,Great Honest Investment Company Limited,,,,"8/F AIE Building, 33 Connaught Road Central, Hong Kong",2026-06-16T03:18:47.256606+00:00,ok
AAA865,Canadian Imperial Bank of Commerce,,,,,2026-06-16T02:47:46.804656+00:00,ok
AAA867,King Wai Company,,,,,2026-06-16T03:43:23.438930+00:00,ok
AAA874,South China Securities Limited,www.sctrade.com,sccompliance@sctrade.com,,"Office A, 14/F, Wing Cheong Commercial Building, Nos. 19-25 Jervois Street, Hong Kong, Hong Kong",2026-06-16T04:22:31.051481+00:00,ok
AAA889,MUFG Securities Asia Limited,https://www.asia.sc.mufg.jp,RegCommunications@mufgsecurities.com,,"9/F, AIA Central, 1 Connaught Road Central, Hong Kong",2026-06-16T03:52:57.267513+00:00,ok
AAA980,Lee On Tat Investment Limited,,,,,2026-06-16T03:47:41.771038+00:00,ok
AAA994,Seekers Markets Limited,,,,,2026-06-16T04:22:33.043220+00:00,ok
AAB026,J.P. Morgan Securities (Far East) Limited,jpmorgan.com,hk.compliance@jpmorgan.com,,"23-29/F Chater House, 8 Connaught Road Central, Hong Kong",2026-06-16T03:40:31.643553+00:00,ok
AAB027,J.P. Morgan Broking (Hong Kong) Limited,www.jpmorgan.com,hk.compliance@jpmorgan.com,,"HKEx Datacenter, Hall A/2F, Tseung Kwan O Industrial Estate, 1 Chun Ying Street, Tseung Kwan O, Hong Kong",2026-06-16T03:40:33.994272+00:00,ok
AAB082,Ichiyoshi International (HK) Limited,,,,,2026-06-16T03:36:22.534447+00:00,ok
AAB109,Chung Tak & Company,,,,,2026-06-16T02:47:48.924849+00:00,ok
AAB143,Welform Investors Company,,,,,2026-06-16T04:48:18.050607+00:00,ok
AAB171,Kwok Chung Chun Securities Company,,,,,2026-06-16T03:43:25.411652+00:00,ok
AAB204,To Hoi Hung Company,,,,,2026-06-16T04:36:24.989840+00:00,ok
AAB217,Daiwa SB Investments (HK) Limited,,,,,2026-06-16T03:02:40.830294+00:00,ok
AAB241,HSBC Securities (Asia) Limited,,,,,2026-06-16T03:26:51.473526+00:00,ok
AAB254,Intercontinent Securities Company,,,,,2026-06-16T03:36:24.660677+00:00,ok
AAB291,MoneyMore Securities Limited,www.malahon.com,cs@moneymore.com.hk,,"6th Floor, Malahon Centre, 8-12 Stanley Street, Central, Hong Kong",2026-06-16T03:52:59.529410+00:00,ok
AAB353,Chow Sang Sang Securities Limited,www.338.net,cs.trade@338.net,,"27/F, 9 Wing Hong Street, Cheung Sha Wan, Kowloon, Hong Kong",2026-06-16T02:47:51.184891+00:00,ok
AAB361,Daiwa Asset Management (H.K.) Limited,,,,,2026-06-16T03:02:42.944181+00:00,ok
AAB375,Credit Agricole Indosuez Cheuvreux Securities (Hong Kong) Limited,,,,,2026-06-16T02:47:53.248236+00:00,ok
AAB444,Amundi Hong Kong Limited,www.amundi.com/hkg,Compliance-HK@amundi.com,,"Suites 04-06, 32nd floor, Two Taikoo Place, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong, Hong Kong",2026-06-16T02:27:25.757552+00:00,ok
AAB453,Ching Yick Company,,,,,2026-06-16T02:47:55.438212+00:00,ok
AAB463,Winning & Company,,,,,2026-06-16T04:48:20.172471+00:00,ok
AAB499,Yunfeng Financial Markets Limited,www.yff.com,compliance@yff.com,,"Rooms 1803 -1806, YF Life Centre, 38 Gloucester Road, Wanchai, Hong Kong",2026-06-16T04:53:59.019462+00:00,ok
AAB514,SG Asset Finance (Hong Kong) Limited,,,,,2026-06-16T04:22:35.022322+00:00,ok
AAB528,Ka Yue Investment Company,,,,,2026-06-16T03:43:27.377258+00:00,ok
AAB629,Tokai Tokyo Securities (Asia) Limited,,kabu@tokaitokyoasia.com,,"15/F, 33 Des Voeux Road Central, Hong Kong",2026-06-16T04:36:26.962825+00:00,ok
AAB639,Daiwa Capital Markets Hong Kong Limited,www.hk.daiwacm.com,complaintofficer@hk.daiwacm.com,,"Level 26, One Pacific Place, 88 Queensway, Hong Kong",2026-06-16T02:09:00.596225+00:00,ok
AAB709,Winfull Securities Limited,,winsec@netvigator.com,,"Room 1402  Fortis Bank Tower, 77-79 Gloucester Road, Wanchai, Hong Kong",2026-06-16T04:48:22.282897+00:00,ok
AAB807,Goodcape Investment Company,,,,,2026-06-16T03:18:49.361496+00:00,ok
AAB856,GigaMoney Limited,www.winnerintsec.com,kinpanchuang@gigamoney.com,,"Unit B, 5/F, Jade Centre, 98 Wellington Street, Central, Hong Kong",2026-06-16T03:18:51.461773+00:00,ok
AAB864,Principal Global Investors (Hong Kong) Limited,,,,,2026-06-16T04:07:38.722630+00:00,ok
AAB885,Wing Fat Securities Limited,,,,,2026-06-16T04:48:24.400816+00:00,ok
AAB893,CLSA Limited,www.clsa.com,hklicense@clsa.com,,"5/F One Island East, 18 Westlands Road, Hong Kong",2026-06-16T02:08:22.569770+00:00,ok
AAB947,Credit Agricole Securities (Asia) Limited,www.ca-cib.com,casalcpl@ca-cib.com,,"26-28/F & 30/F, Two Pacific Place, 88 Queensway, Admiralty, Hong Kong",2026-06-16T02:47:57.430235+00:00,ok
AAB979,On Hing Securities Company,,,,,2026-06-16T04:04:00.719259+00:00,ok
AAC083,OCBC Bank (Hong Kong) Limited,,,,,2026-06-16T04:04:02.764624+00:00,ok
AAC086,Mason Securities Limited,www.masonsec.com,info@masonhk.com,,"Unit 2101, 21/F, Office Tower, Convention Plaza, No. 1 Harbour Road, Wan Chai, Hong Kong",2026-06-16T03:53:01.492979+00:00,ok
AAC106,OCBC Securities Brokerage (Hong Kong) Limited,https://www.ocbc.com.hk/sb,kinwaiwong@ocbc.com,,"1/F & 2/F Chun Wo Commercial Centre, 23-29 Wing Wo Street, Central, Hong Kong",2026-06-16T04:04:04.972433+00:00,ok
AAC153,Everbright Securities Investment Services (HK) Limited,www.ebshkfg.com,compliance.reg@ebshk.com,,"19/F & 21/F Lee Garden Five, 18 Hysan Avenue, Causeway Bay, Hong Kong",2026-06-16T03:07:19.565125+00:00,ok
AAC155,China Construction Bank (Asia) Corporation Limited,,,,,2026-06-16T02:47:59.408356+00:00,ok
AAC198,Merrill Lynch (Asia Pacific) Limited,https://www.bankofamerica.com/,apaclicensing@bofa.com,,"Level 18-21 and Units 1-3, 5-9 Level 22, Tower B of Kowloon Commerce Centre, No. 51 Kwai Cheong Road Kwai Chung New Territories, Hong Kong",2026-06-16T02:10:09.198291+00:00,ok
AAC207,DBS Vickers Securities (Hong Kong) Limited,,,,,2026-06-16T03:02:45.111035+00:00,ok
AAC212,DBS Bank Ltd.,,,,,2026-06-16T03:02:47.244505+00:00,ok
AAC230,Wocom Securities Limited,www.wocom.com.hk,wocom@wocom.com.hk,,"Room 1002  Wing On Centre, 111 Connaught Road Central, Hong Kong",2026-06-16T04:48:26.558642+00:00,ok
AAC246,Chelac Investment Company,,,,,2026-06-16T02:48:02.383987+00:00,ok
AAC257,Barclays Capital Asia Limited,www.barclays.com,centralcomplianceho@barclayscapital.com,,"41/F Cheung Kong Center, 2 Queen's Road Central, Central, Hong Kong",2026-06-16T02:40:14.495827+00:00,ok
AAC298,BOCI Securities Limited,www.bocionline.com,hklicense@bocigroup.com,,"20/F Bank of China Tower, 1 Garden Road, Central, Hong Kong",2026-06-16T02:09:26.749754+00:00,ok
AAC350,Katherine Ip & Company,,,,,2026-06-16T03:43:29.345832+00:00,ok
AAC352,Merrill Lynch Far East Limited,https://www.bankofamerica.com/,apaclicensing@bofa.com,,"Level 18-21 and Units 1-3, 5-9 Level 22, Tower B of Kowloon Commerce Centre, No.51 Kwai Cheong Road Kwai Chung New Territories, Hong Kong",2026-06-16T03:53:03.452316+00:00,ok
AAC381,FE Securities Limited,,admin@fe-sec.com,,"2101, 21/F., Five Pacific Place, 28 Hennessy Road, Hong Kong",2026-06-16T03:13:01.269664+00:00,ok
AAC483,Everbright Securities Digital Finance (HK) Limited ,www.ebshkdirect.com,compliance.reg@ebshk.com,,"6/F, 238 Des Voeux Road Central, Sheung Wan, Hong Kong",2026-06-16T03:07:21.883723+00:00,ok
AAC529,"Bright Securities Company, The",,,,,2026-06-16T02:40:16.476110+00:00,ok
AAC534,Macquarie Capital Limited,www.macquarie.com,compcentralasia@macquarie.com,,"Levels 22 and 23, One International Finance Centre, 1 Harbour View Street, Central, Hong Kong",2026-06-16T03:53:05.412803+00:00,ok
AAC556,Montgomery Securities Limited,,,,,2026-06-16T03:53:07.449370+00:00,ok
AAC577,Quam Securities Limited,www.quamsec.com,QSec-Compliance@quamgroup.com,,"5/F and 24/F (Rooms 2401 and 2412), Wing On Centre, 111 Connaught Road Central, Hong Kong",2026-06-16T04:16:43.926506+00:00,ok
AAC621,VMS Securities Limited,,roylau@vmsig.com,,"28/F, Dah Sing Financial Tower, 36 Heung Yip Road, Wong Chuk Hang, Hong Kong",2026-06-16T04:45:15.318004+00:00,ok
AAC648,Sanfull Securities Limited,www.sanfull.com,admin@sanfull.com,,"Unit A-B 8/F Max Share Centre, 367-373 King's Road, North Point, Hong Kong",2026-06-16T04:22:37.017399+00:00,ok
AAC662,Quam Asset Management Limited,www.quamwealthgroup.com,QAM-Compliance@quamgroup.com,,"5/F and 24/F (Rooms 2401 and 2412), Wing On Centre, 111 Connaught Road Central, Hong Kong",2026-06-16T04:16:45.893245+00:00,ok
AAC682,China Point Stock Brokers Limited,,,,,2026-06-16T02:48:04.361256+00:00,ok
AAC710,Szehope & Company,,,,,2026-06-16T04:22:39.016181+00:00,ok
AAC753,JS Cresvale Capital Limited,www.jscresvale.com.hk,compliance@jscresvale.com.hk,,"Unit 1002, 10/F,, Hong Kong Li-Ning Building, 218 Electric Road,, North Point, Hong Kong",2026-06-16T03:40:36.239346+00:00,ok
AAC801,LGT Investment Management (Asia) Limited,,lgt.investasia@lgt.com,,"Suite 4203 Two Exchange Square, 8 Connaught Place, Central, Hong Kong",2026-06-16T03:47:43.751029+00:00,ok
AAC806,Corporate Brokers Limited,www.cblhk.com,enquiry@cblhk.com,,"Unit 408-409, 4/F, Fortress Tower, 250 King's Road, Fortress Hill, Hong Kong",2026-06-16T02:48:06.343425+00:00,ok
AAC807,ABN AMRO Financial Products Limited,,,,,2026-06-16T02:27:28.225314+00:00,ok
AAC846,Pasay Stock and Shares Limited,,,,,2026-06-16T04:07:40.701408+00:00,ok
AAC867,Tai Yip Stock Company Limited,,tay633888@gmail.com,,"304-7 China Insurance Group Building, 141 Des Voeux Road Central, Central, Hong Kong",2026-06-16T04:36:29.145661+00:00,ok
AAC906,Sunrise Investment Company,,,,,2026-06-16T04:22:40.975234+00:00,ok
AAC913,Bradbury Securities Limited,,info@bradburysecurities.com,,"Suites 3606-08, 36/F,, Two International Finance Centre, 8 Finance Street,, Central, Hong Kong",2026-06-16T02:40:18.457272+00:00,ok
AAC927,Shenwan Hongyuan Securities (H.K.) Limited,www.swhyhk.com,licensing@swhyhk.com,,"Unit 3101, 31/F, Tower 1, Admiralty Centre, 18 Harcourt Road, Hong Kong",2026-06-16T04:22:43.271082+00:00,ok
AAC939,ICEA Securities Asia Limited,,,,,2026-06-16T03:36:26.827923+00:00,ok
AAC999,Citigroup Property Investors Asia Limited,,,,,2026-06-16T02:48:08.326319+00:00,ok
AAD002,M&F Asset Management Limited,www.mfam.com.hk,david.se@mfam.com.hk,,"Room A, 1/Floor, HENNING HOUSE, 385-391 HENNESSY ROAD, WAN CHAI, Hong Kong",2026-06-16T03:53:09.466367+00:00,ok
AAD035,Hang Tai Securities Limited,,cs@hangtaiglobal.com,,"Room 2105A, 21/F., K. Wah Centre, 191 Java Road, North Point, Hong Kong",2026-06-16T03:26:53.575950+00:00,ok
AAD045,Lees Securities Co.,,,,,2026-06-16T03:47:45.740961+00:00,ok
AAD069,Lee Tat & Company,,,,,2026-06-16T03:47:47.715157+00:00,ok
AAD244,CS Wealth Securities Limited,www.cswsec.com.hk,info@cswsec.com.hk,,"Room 3206, 32/F, China Resources Building, 26 Harbour Road, Wanchai, Hong Kong",2026-06-16T02:48:10.313941+00:00,ok
AAD270,UBS Securities Hong Kong Limited,,,,,2026-06-16T04:43:27.630225+00:00,ok
AAD284,MIB Securities (Hong Kong) Limited,www.mib.com.hk/tc,compliance@mib.com.hk,,"28/F Lee Garden Three, 1 Sunning Road, Causeway Bay, Hong Kong",2026-06-16T03:53:11.701588+00:00,ok
AAD291,Morgan Stanley Asia Limited,www.morganstanley.com,hklicense@morganstanley.com,,"26/F Global Gateway, 168 Yeung Uk Road  & 98 Wang Lung Street, Tsuen Wan New Territories, Hong Kong",2026-06-16T03:53:13.742859+00:00,ok
AAD350,"Anglo Chinese Corporate Finance, Limited",www.anglochinesegroup.com,accf@anglochinesegroup.com,,"Room 4001 40/F Two Exchange Square, 8 Connaught Place, Central, Hong Kong",2026-06-16T02:27:30.205903+00:00,ok
AAD361,Stockwell Securities Limited,,,,,2026-06-16T04:22:45.270617+00:00,ok
AAD364,Tak Fung Shares Investment Company Limited,,,,,2026-06-16T04:36:31.118403+00:00,ok
AAD365,"Anglo Chinese Securities, Limited",www.anglochinesegroup.com,accf@anglochinesegroup.com,,"Room 4001 40/F Two Exchange Square, 8 Connaught Place, Central, Hong Kong",2026-06-16T02:27:32.198483+00:00,ok
AAD401,Morgan Stanley Hong Kong Securities Limited,www.morganstanley.com,hklicense@morganstanley.com,,"26/F Global Gateway, 168 Yeung Uk Road & 98 Wang Lung Street, Tsuen Wan New Territories, Hong Kong",2026-06-16T03:53:15.704905+00:00,ok
AAD422,Ying Kit Stock Company,,,,,2026-06-16T04:54:01.156068+00:00,ok
AAD432,SPS Securities Limited,,yk@spsgroup.com,,"2/F, Pinnacle Building, No.9 Ship Street, Wan Chai, Hong Kong",2026-06-16T04:22:47.232297+00:00,ok
AAD442,Tak Fung Commodities Limited,,,,,2026-06-16T04:36:33.098678+00:00,ok
AAD452,Po Kay Securities & Shares Company Limited,www.pokayonline.com,williamng@pokayonline.com.hk,,"14/F Grand Building, 15-18 Connaught Road Central, Hong Kong",2026-06-16T04:07:42.658050+00:00,ok
AAD487,Sharegain Development Limited,,,,,2026-06-16T04:22:49.210999+00:00,ok
AAD490,King Fook Securities Company Limited,,,,,2026-06-16T03:43:31.336099+00:00,ok
AAD499,Oversea-Chinese Banking Corporation Limited,,,,,2026-06-16T04:04:06.987218+00:00,ok
AAD502,Tai Yip Commodities & Futures Limited,,,,,2026-06-16T04:36:35.089036+00:00,ok
AAD534,Henyep Securities Limited,www.hotrade.com.hk,hysec_info@henyep.com,,"Room 303, 3/F, Henley Building, 5 Queen's Road Central, Central, Hong Kong",2026-06-16T03:26:55.723957+00:00,ok
AAD624,OCBC Securities (Hong Kong) Limited,,,,,2026-06-16T04:04:08.969032+00:00,ok
AAD647,DBS Vickers (Hong Kong) Limited,www.dbsvonline.com,vickershk_comp@dbs.com,,"16/F One Island East, 18 Westlands Road, Quarry Bay, Hong Kong",2026-06-16T03:02:49.342254+00:00,ok
AAD767,Toyo Securities Asia Limited,,info@toyosecasia.com,,"Suites 2301-2 & 16, 23/Fl., 1111 King's Road, Taikoo Shing, Hong Kong",2026-06-16T04:36:37.072350+00:00,ok
AAD847,Funderstone Futures Limited,www.funderstone.com,info@funderstonesec.com,,"Room 1802, 18/F, Capital Centre, No. 151 Gloucester Road, Wanchai, Hong Kong",2026-06-16T03:13:03.377349+00:00,ok
AAD938,Hing Wong Securities Limited,www.hwstock.com,acct@hwstock.com,,"Unit A 19/F United Centre, 95 Queensway, Hong Kong",2026-06-16T03:26:57.863876+00:00,ok
AAD941,SG Securities (HK) Limited,hk.warrants.com,hkg-compliance-sfc-portal@sgcib.com,,"Level 38 Three Pacific Place, 1 Queen's Road East, Hong Kong",2026-06-16T04:22:51.367614+00:00,ok
AAD963,Kan Fung Securities Co.,,,,,2026-06-16T03:43:33.313240+00:00,ok
AAD967,Hooray Securities Limited,www.hooraysec.com,compliance@hooraysec.com.hk,,"Room A & B2,11/F., Guangdong Investment Tower, 148 Connaught Road Central, Hong Kong",2026-06-16T03:26:59.947585+00:00,ok
AAE045,MUSHK Limited,,,,,2026-06-16T03:53:17.696416+00:00,ok
AAE052,Kwai Hung Securities Company Limited,www.kwaihung.com.hk,securities@kwaihung.com.hk,,"19/F Admiralty Centre Tower 2, 18 Harcourt Road, Admiralty, Hong Kong",2026-06-16T03:43:35.292714+00:00,ok
AAE062,Tai Chuen Securities Co.,,,,,2026-06-16T04:36:39.031611+00:00,ok
AAE074,Okasan International (Asia) Limited,,inquiry@okasan.com.hk,,"Rooms 2605-7, 26/F, Wing On Centre, 111 Connaught Road Central, Sheung Wan, Hong Kong",2026-06-16T04:04:11.004284+00:00,ok
AAE120,H & A Investment Company,,,,,2026-06-16T03:27:02.259537+00:00,ok
AAE130,Bold Win Securities Co.,,,,,2026-06-16T02:40:20.684297+00:00,ok
AAE133,AuVantage Consultancy Limited,,,,,2026-06-16T02:27:34.199522+00:00,ok
AAE226,Alpha Securities Company Limited,,alpha.securities@voesa.com.hk,,"3702A Far East Finance Centre, 16 Harcourt Road, Admiralty, Hong Kong",2026-06-16T02:27:36.209015+00:00,ok
AAE263,Y. S. Law & Co.,,,,,2026-06-16T04:54:03.301819+00:00,ok
AAE264,Onshine Securities Limited,,monique.lai@onshine.com.hk,,"21st Floor Entertainment Building, 30 Queen's Road Central, Central, Hong Kong",2026-06-16T04:04:13.017941+00:00,ok
AAE271,Kwan Yick Securities (International) Limited,,kwanyick88@gmail.com,,"Flat B,C & E 3/F  Ho Lee Commercial Building, 38-44 D'Aguilar Street, Central, Hong Kong",2026-06-16T03:43:37.282331+00:00,ok
AAE276,Citigroup First Investment Management Limited,,wanda.yau@citi.com,,"50th Floor, Champion Tower, Three Garden Road, Central, Hong Kong",2026-06-16T02:48:12.311627+00:00,ok
AAE300,Fair Eagle Securities Company Limited,www.faireagle.com.hk,faireagle@netvigator.com,,"Room 1901, 19/F., Chubb Tower, Windsor House, 311 Gloucester Road, Causeway Bay, Hong Kong",2026-06-16T03:13:05.490828+00:00,ok
AAE337,Chekiang First Securities Co. Limited,,,,,2026-06-16T02:48:14.293777+00:00,ok
AAE350,Ziar & Company,,,,,2026-06-16T04:56:42.919472+00:00,ok
AAE395,"Chekiang First, Limited",,,,,2026-06-16T02:48:16.255992+00:00,ok
AAE412,Tisco Securities Hong Kong Limited,,,,,2026-06-16T04:36:40.998786+00:00,ok
AAE430,DBS Asia Capital Limited,,dbsaccontrol@dbs.com,,"73/F The Center, 99 Queen's Road Central, Central, Hong Kong",2026-06-16T03:02:51.460780+00:00,ok
AAE431,Public Financial Securities Limited,,publicfinsec@publicbank.com.hk,,"10/F Public Bank Centre, 120 Des Voeux Road Central, Central, Hong Kong",2026-06-16T04:07:44.695051+00:00,ok
AAE438,OCBC Futures Investment (Hong Kong) Limited,,kinwaiwong@ocbc.com,,"1/F & 2/F Chun Wo Commercial Centre, 23-29 Wing Wo Street, Central, Hong Kong",2026-06-16T04:04:15.032104+00:00,ok
AAE468,Public Bank (Hong Kong) Limited,,,,,2026-06-16T04:07:48.104975+00:00,ok
AAE494,Taiping Securities (HK) Co Limited,www.tpfh.cntaiping.com/tc,tpgroup.tpfh.compliance@tpfh.cntaiping.com,,"Unit 3, 19th Floor, China Taiping Finance Centre, No. 18 King Wah Road, North Point, Hong Kong, Hong Kong",2026-06-16T04:36:42.981168+00:00,ok
AAE544,ETRADE Securities Limited,,,,,2026-06-16T03:07:24.210940+00:00,ok
AAE617,FT Securities Limited,,,,,2026-06-16T03:13:07.591604+00:00,ok
AAE653,American Express Bank Limited,,,,,2026-06-16T02:27:38.170035+00:00,ok
AAE654,Lawsons Securities Company,,,,,2026-06-16T03:47:49.730401+00:00,ok
AAE656,Lehman Brothers Securities Asia Limited,,,,,2026-06-16T03:47:51.721118+00:00,ok
AAE666,Tung Tak Securities (HK) Company Limited,,charles.kwok@live.hk,,"G/F Tai Nam Commercial Building, 169 Tai Nam Street, Sham Shui Po, Kowloon, Hong Kong",2026-06-16T04:36:44.957986+00:00,ok
AAE686,Lehman Brothers Asia Holdings Limited,,,,,2026-06-16T03:47:53.698617+00:00,ok
AAE689,Lehman Brothers Asia Limited,,,,,2026-06-16T03:47:55.736285+00:00,ok
AAE691,Cheong Lee Securities Co.,,,,,2026-06-16T02:48:18.235909+00:00,ok
AAE696,GAOYU SECURITIES LIMITED,www.gysechk.com,info@gysechk.com,,"Suite 4409, 44/F COSCO Tower, 183 Queen's Road Central, Hong Kong",2026-06-16T03:18:53.573967+00:00,ok
AAE719,Paribas Asia Equity Limited (trading as Paribas),,,,,2026-06-16T04:07:50.140953+00:00,ok
AAE727,Royal Bank of Canada,,,,,2026-06-16T04:17:56.020707+00:00,ok
AAE763,Tsun Chi Yuen Securities Company Limited,,tcysec@netvigator.com,,"18/F & 20/F Man On Commercial Building, 12 Jubilee Street, Central, Hong Kong",2026-06-16T04:36:46.948040+00:00,ok
AAE773,Prudential Index Trading Company Limited,www.pru.hk,info@pru.com.hk,,"901-4 World Wide House, 19 Des Voeux Road Central, Hong Kong",2026-06-16T04:07:52.339137+00:00,ok
AAE786,Merrill Lynch Futures (Hong Kong) Limited,,,,,2026-06-16T03:53:19.660349+00:00,ok
AAE876,East Asia Securities Company Limited,www.easecurities.com.hk,info@easecurities.com.hk,,"9/F The Bank of East Asia Building, 10 Des Voeux Road, Central, Hong Kong",2026-06-16T03:07:26.313359+00:00,ok
AAE879,CITIC Securities Brokerage (HK) Limited,www.citics.com.hk,hk_licensing@clsa.com,,"16/F Hang Seng Mong Kok Building, 677 Nathan Road, Mong Kok, Kowloon, Hong Kong",2026-06-16T02:48:20.231834+00:00,ok
AAE950,abrdn Hong Kong Limited,www.aberdeeninvestments.com/en-hk,Compliance.HongKong@aberdeenplc.com,,"Suites 1601-1602 & 1616, Two International Finance Centre, 8 Finance Street, Central, Hong Kong",2026-06-16T02:27:40.153599+00:00,ok
AAE964,Morgan Stanley Hong Kong Futures Limited,,,,,2026-06-16T03:53:21.622779+00:00,ok
AAE975,East Asia Futures Limited,www.eafutures.com.hk,accounts@eafutures.com.hk,,"9/F The Bank of East Asia Building, 10 Des Voeux Road Central, Central, Hong Kong",2026-06-16T03:07:28.440127+00:00,ok
AAE986,Okachi Investments (HK) Company Limited,,,,,2026-06-16T04:04:17.047210+00:00,ok
AAF079,Gainwell Securities Company Limited,,,,,2026-06-16T03:18:55.684418+00:00,ok
AAF100,Roctec Securities Company Limited,,info@roctec.com,,"Room 3908 39/F, The Center, 99 Queen's Road Central, Hong Kong",2026-06-16T04:17:58.191512+00:00,ok
AAF109,RBS Asia Futures Limited,,,,,2026-06-16T04:18:00.215743+00:00,ok
AAF114,RBS Asia Securities (Hong Kong) Limited,,,,,2026-06-16T04:18:02.287580+00:00,ok
AAF133,Roctec Investment Limited,,,,,2026-06-16T04:18:04.278875+00:00,ok
AAF138,China CITIC Bank International Limited,,,,,2026-06-16T02:48:22.418322+00:00,ok
AAF157,Aisance Asset Management Limited,www.trinitusam.com,christine@trinitusam.com,,"Room 1704A Tower 2 Admiralty Center, 18 Harcourt Road, Admiralty, Hong Kong",2026-06-16T02:27:42.878135+00:00,ok
AAF210,BlackRock (Hong Kong) Limited,,,,,2026-06-16T02:40:22.672903+00:00,ok
AAF212,Standard Chartered Securities (Hong Kong) Limited,,Jia-Yu.Wu@sc.com,,"15/F Two International Finance Centre, 8 Finance Street, Central, Hong Kong",2026-06-16T04:22:53.524597+00:00,ok
